txn_date,description,credit_amount,utr_reference
2024-07-10,NEFT CR-UTR-2024-KOTK-QICA90122106-MOHIT ARORA-RAZORPAY,7443.1,UTR2024KOTKQICA9
2024-07-10,INW RAZORPAY utr2024axishocn56838395,29059.62,utr2024axishocn56838395
2024-07-12,NEFT CR-UTR-2024-ICIC-T4UF34035977-NISHA AGARWA-RAZORPAY,17252.99,utr2024icict4uf34035977
2024-07-14,INW RAZORPAY UTR2024HDFCP5TB3,29218.77,UTR2024HDFCP5TB31183391
2024-07-15,IMPS/utr2024sbinoc6u44132366/Priya/RAZORPAY SOFTWARE,34142.76,UTR2024SBINOC6U44132366
2024-07-18,IMPS/UTR-2024-KOTK-VWPV14623353/Meera/RAZORPAY SOFTWARE,23584.94,UTR-2024-KOTK-VWPV14623353
2024-07-18,CREDIT UTR2024KOTKAHXT42058088 ADITYA KUL,21919.2,utr2024kotkahxt42058088
2024-07-18,NEFT CR-UTR2024KOTKE7UR9-KARAN GUPTA-RAZORPAY,14332.58,UTR2024KOTKE7UR99405516
2024-07-18,CREDIT UTR2024ICICYKL128557602 AMIT BOSE,32028.85,UTR2024ICICYKL128557602
2024-07-19,NEFT CR-UTR-2024-SBIN-81SD84203808-MOHIT ARORA-RAZORPAY,25652.96,UTR2024SBIN81SD8
2024-07-19,INW RAZORPAY UTR2024HDFCIUC024991807,2658.74,utr2024hdfciuc024991807
2024-07-19,CR RAZORPAY SETTLEMENTS UTR-2024-SBIN-72KZ41822265,2589.41,UTR2024SBIN72KZ41822265
2024-07-20,CR RAZORPAY SETTLEMENTS utr2024icic194555012146,22668.1,UTR2024ICIC19455
2024-07-20,IMPS/UTR2024AXISMF8M76973943/Varun/RAZORPAY SOFTWARE,7944.97,UTR-2024-AXIS-MF8M76973943
2024-07-21,NEFT CR-UTR2024HDFCQ99C5-ROHIT VERMA-RAZORPAY,28793.63,utr2024hdfcq99c58919660
2024-07-24,INW RAZORPAY UTR-2024-KOTK-877V92201553,44761.11,utr2024kotk877v92201553
2024-07-27,CREDIT UTR-2024-KOTK-5NGC81807776 RAJESH DUB,7241.96,utr2024kotk5ngc81807776
2024-07-27,NEFT CR-UTR-2024-HDFC-DPJA17159937-SANJAY KAPOO-RAZORPAY,48458.0,UTR2024HDFCDPJA1
2024-07-27,IMPS/UTR2024AXIST9NT03784883/Leela/RAZORPAY SOFTWARE,34333.15,UTR2024AXIST9NT0
2024-07-29,NEFT CR-utr2024kotka3kx77975425-AARTI BHATT-RAZORPAY,22818.8,UTR2024KOTKA3KX77975425
2024-08-01,CR RAZORPAY SETTLEMENTS UTR-2024-AXIS-V3A309486771,17623.04,UTR2024AXISV3A309486771
2024-08-02,INW RAZORPAY UTR2024KOTKJ75599184547,7127.11,UTR-2024-KOTK-J75599184547
2024-08-03,CREDIT UTR-2024-KOTK-DPBH51845319 SWATI CHOU,38479.92,utr2024kotkdpbh51845319
2024-08-03,CREDIT UTR2024KOTKOH9S8 KAVITHA ME,15275.78,UTR-2024-KOTK-OH9S85514807
2024-08-05,CR RAZORPAY SETTLEMENTS UTR2024AXIS3GDP0,20744.59,utr2024axis3gdp09151978
2024-08-05,CR RAZORPAY SETTLEMENTS UTR-2024-SBIN-F4ZW00561115,29007.87,UTR-2024-SBIN-F4ZW00561115
2024-08-08,IMPS/UTR2024HDFCYIE635988473/Ritu/RAZORPAY SOFTWARE,21854.39,UTR2024HDFCYIE635988473
2024-08-10,CR RAZORPAY SETTLEMENTS UTR2024AXISD4V341643256,9645.86,utr2024axisd4v341643256
2024-08-10,CREDIT UTR2024KOTKF8CG8 ADITYA KUL,41258.44,UTR2024KOTKF8CG89293857
2024-08-13,CR RAZORPAY SETTLEMENTS utr2024axisq0y961282742,1349.38,UTR2024AXISQ0Y96
2024-08-15,CREDIT UTR-2024-HDFC-60FK97267378 KARAN GUPT,76491.0,utr2024hdfc60fk97267378
2024-08-19,CREDIT utr2024icicvazc75418807 NISHA AGAR,34043.16,UTR2024ICICVAZC75418807
2024-08-20,CREDIT utr2024hdfcom5i76241394 SNEHA IYER,42427.51,utr2024hdfcom5i76241394
2024-08-24,INW RAZORPAY UTR2024HDFCEN9329626592,15815.73,UTR2024HDFCEN9329626592
2024-08-26,IMPS/utr2024sbinzycw24980280/Swati/RAZORPAY SOFTWARE,10859.52,UTR-2024-SBIN-ZYCW24980280
2024-08-26,CR RAZORPAY SETTLEMENTS UTR2024SBINHWJR3,55946.0,UTR-2024-SBIN-HWJR35331910
